y_number,reference_name,original_id,new_t250,new_t100,new_t50,new_t25,new_t10,new_t5,new_t2,new_t0,new_clustercode,new_clustercode_frequency,new_wg_number,new_clustercode_updated,new_data,old_clustercode,old_t250,old_t100,old_t50,old_t25,old_t10,old_t5,old_t2,old_t0,old_wg_number,old_clustercode_frequency,UPDATED
Y19-3129SP_190911-1117,RT015_TL174,,1,1,2,2,3,64,66,254,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.323257,,NA,,,,,,,,,,,
Y19-3208_190916-1037,RT015_TL174,,1,1,2,2,3,64,66,251,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.324770,,NA,,,,,,,,,,,
Y19-3207_190916-1157,RT015_TL174,,1,1,2,2,3,64,66,251,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.326284,,NA,,,,,,,,,,,
Y19-3208_190916-1157,RT015_TL174,,1,1,2,2,3,64,66,251,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.327421,,NA,,,,,,,,,,,
0865fed8-64f8-40fd-bdf7-996ca28517c7,RT015_TL174,,1,1,2,2,3,64,3,3,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.352706,,S,1,1,2,3,3,3,3,3,WG19-00000,1,wg_number;clustercode_frequency;t25;clustercode;t5
15f5d864-de71-4211-a0e3-22d94d342c54,RT015_TL174,,1,1,2,2,3,64,5,5,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.355780,,S,1,1,2,3,3,5,5,5,WG19-00000,1,wg_number;clustercode_frequency;t25;clustercode;t5
1061,RT015_TL174,,1,1,2,2,3,64,46,48,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.365223,,S,1,1,2,3,3,45,46,48,WG19-00000,1,wg_number;clustercode_frequency;t25;clustercode;t5
1187,RT015_TL174,,1,1,2,2,3,64,62,65,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.381408,,RT015_TL174.1.1.2.3.3.60,1,1,2,3,3,60,62,65,WG19-00029,2,wg_number;clustercode_frequency;t25;clustercode;t5
1189-QA,RT015_TL174,,1,1,2,2,3,64,62,65,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.383333,,RT015_TL174.1.1.2.3.3.60,1,1,2,3,3,60,62,65,WG19-00029,2,wg_number;clustercode_frequency;t25;clustercode;t5
Y19-1586,RT015_TL174,,1,1,2,2,3,64,147,154,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.448681,,RT015_TL174.1.1.2.3.134.144,1,1,2,3,134,144,147,154,WG19-00049,2,wg_number;clustercode_frequency;t25;t10;clustercode;t5
Y19-1586.r1,RT015_TL174,,1,1,2,2,3,64,147,154,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.450423,,RT015_TL174.1.1.2.3.134.144,1,1,2,3,134,144,147,154,WG19-00049,2,wg_number;clustercode_frequency;t25;t10;clustercode;t5
Y19-2005,RT015_TL174,,1,1,2,2,3,64,131,136,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.455215,,RT015_TL174.1.1.2.3.3.64,1,1,2,3,3,64,131,136,WG19-00031,5,wg_number;clustercode_frequency;t25;clustercode
Y19-2007,RT015_TL174,,1,1,2,2,3,64,131,136,RT015_TL174.1.1.2.2.3.64,22,WG19-00066,2019-12-03 16:00:04.456875,,RT015_TL174.1.1.2.3.3.64,1,1,2,3,3,64,131,136,WG19-00031,5,wg_number;clustercode_frequency;t25;clustercode
Y19-3218_190917-1052,RT015_TL174,,1,1,2,2,49,52,53,55,RT015_TL174.1.1.2.2.49.52,5,WG19-00024,2019-12-03 16:00:04.328551,,NA,,,,,,,,,,,
1325,RT015_TL174,,1,1,2,2,55,58,60,63,RT015_TL174.1.1.2.2.55.58,2,WG19-00067,2019-12-03 16:00:04.189168,,RT015_TL174.1.1.2.46.55.58,1,1,2,46,55,58,60,63,WG19-00027,2,wg_number;t25;clustercode
1181,RT015_TL174,,1,1,2,2,55,58,60,63,RT015_TL174.1.1.2.2.55.58,2,WG19-00067,2019-12-03 16:00:04.379279,,RT015_TL174.1.1.2.46.55.58,1,1,2,46,55,58,60,63,WG19-00027,2,wg_number;t25;clustercode
Y19-2820D_190818-1448,RT015_TL174,,1,1,2,42,50,53,54,56,RT015_TL174.1.1.2.42.50.53,3,WG19-00071,2019-12-03 16:00:04.263248,,NA,,,,,,,,,,,
Y19-2820SP_190818-1448,RT015_TL174,,1,1,2,42,50,53,54,56,RT015_TL174.1.1.2.42.50.53,3,WG19-00071,2019-12-03 16:00:04.264566,,NA,,,,,,,,,,,
1120,RT015_TL174,,1,1,2,42,50,53,54,56,RT015_TL174.1.1.2.42.50.53,3,WG19-00071,2019-12-03 16:00:04.369560,,S,1,1,2,42,50,53,54,56,WG19-00000,1,wg_number;clustercode_frequency;clustercode
2934R_190830-1307,RT015_TL174,,1,1,2,48,57,61,63,66,RT015_TL174.1.1.2.48.57.61,9,WG19-00030,2019-12-03 16:00:04.268865,,NA,,,,,,,,,,,
Y19-2603-SP,RT015_TL174,,1,31,104,141,186,209,215,235,RT015_TL174.1.31.104.141.186.209,2,WG19-00078,2019-12-03 16:00:04.398457,,RT015_TL174.21.31.104.141.186.209,21,31,104,141,186,209,215,235,WG19-00011,2,wg_number;t250;clustercode
Y19-2606,RT015_TL174,,1,31,104,141,186,209,215,235,RT015_TL174.1.31.104.141.186.209,2,WG19-00078,2019-12-03 16:00:04.400168,,RT015_TL174.21.31.104.141.186.209,21,31,104,141,186,209,215,235,WG19-00011,2,wg_number;t250;clustercode
Y19-2826_190821-1247,RT015_TL174,,1,31,32,144,191,216,222,245,RT015_TL174.1.31.32.144.191.216,2,WG19-00081,2019-12-03 16:00:04.433312,,NA,,,,,,,,,,,
Y19-2998_190903-1247,RT015_TL174,,1,31,32,144,191,216,222,245,RT015_TL174.1.31.32.144.191.216,2,WG19-00081,2019-12-03 16:00:04.435102,,NA,,,,,,,,,,,
1049,RT015_TL174,,1,31,32,35,40,43,44,46,RT015_TL174.1.31.32.35.40.43,3,WG19-00079,2019-12-03 16:00:04.401393,,RT015_TL174.21.31.32.35.40.43,21,31,32,35,40,43,44,46,WG19-00009,3,wg_number;t250;clustercode
